name,id,bin#,lat,lon,predictions
"Sand Island Tower, 1nm SE of (midchannel) (Depth 15ft)",PCT1106,1,46.2528,123.9908,Subordinate
"Sand Island Tower, 0.9nm SE of (north channel) (Depth 15ft)",PCT1111,1,46.2578,123.9945,Subordinate
"Baker Bay entrance, E of Sand Island Tower (Depth 23ft)",PCT1116,1,46.262,123.998,Subordinate
"Clatsop Spit, NNE of (Depth 15ft)",PCT1121,1,46.2462,123.9942,Subordinate
"Sand Island, SSE of (Depth 12ft)",PCT1126,1,46.2555,123.968,Subordinate
Youngs Bay Bridge (Depth 9ft),PCT1146,1,46.1778,123.8683,Subordinate
"Hammond, northeast of ship channel (Depth 15ft)",PCT1151,1,46.2112,123.9345,Subordinate
"McGowan, SSW of (Depth 14ft)",PCT1156,1,46.2395,123.9153,Subordinate
"Point Ellice, east of (Depth 17ft)",PCT1161,1,46.2417,123.8483,Subordinate
"Point Adams, NNE OF (Depth 14ft)",PCT1166,1,46.2278,123.9675,Subordinate
"Chinook Point, WSW of (Depth 14ft)",PCT1171,1,46.2422,123.9642,Subordinate
"Tongue Point, northwest of (Depth 15ft)",PCT1176,1,46.2192,123.7667,Subordinate
Woody Island Channel (Depth 15ft),PCT1186,1,46.2395,123.6733,Subordinate
Woody Island Channel (off Seal Island) (Depth 12ft),PCT1191,1,46.2175,123.6292,Subordinate
"Quinn Island, Prairie Channel (Depth 8ft)",PCT1201,1,46.2372,123.5033,Subordinate
Clifton Channel (Depth 10ft),PCT1206,1,46.2178,123.4653,Subordinate
"Hunting Island, south of (Depth 20ft)",PCT1216,1,46.2072,123.4042,Subordinate
"Cathlamet Channel, SE of Nassa Point (Depth 19ft)",PCT1231,1,46.1562,123.315,Subordinate
"Walker Island, south of (Depth 12ft)",PCT1251,1,46.1412,123.0458,Subordinate
"South Bend, Willapa River",PCT1271,1,46.6647,123.8013,Subordinate
"Entrance, 0.2 mile south of north jetty",PCT1276,1,46.9263,124.1613,Subordinate
"Entrance, Point Chehalis Range",PCT1281,1,46.9083,124.1555,Subordinate
"Entrance, 0.6 mile WNW of Westport",PCT1286,1,46.9147,124.125,Subordinate
Grays Harbor Entrance,PCT1291,1,46.9225,124.133,Harmonic
"Entrance, 1.1 miles NW of Westport",PCT1296,1,46.9167,124.1333,Subordinate
"Channel, 1.5 miles north of Westport",PCT1301,1,46.9333,124.1,Subordinate
"Channel, 2.1 miles NNE of Westport",PCT1306,1,46.9333,124.0833,Subordinate
"Westport, channel 0.4 mile NE of",PCT1316,1,46.9142,124.1083,Subordinate
Quillayute River entrance,PCT1321,1,47.9167,124.6333,Subordinate
Strait of Juan de Fuca Entrance (Depth 102ft),PUG1642,49,48.45,124.5838,Harmonic
"Pillar Point, 6 mi. NNE of (Depth 41ft)",PUG1641,75,48.3,124.0374,Harmonic
"Pillar Point, 6 mi. NNE of (Depth 74ft)",PUG1641,70,48.3,124.0374,Harmonic
"Pillar Point, 6 mi. NNE of (Depth 297ft)",PUG1641,36,48.3,124.0374,Harmonic
"Angeles Pt., 2 mi. NNE of (Depth 12ft)",PUG1639,16,48.177,123.5269,Harmonic
"Angeles Pt., 2 mi. NNE of (Depth 25ft)",PUG1639,12,48.177,123.5269,Harmonic
"Angeles Pt., 2 mi. NNE of (Depth 61ft)",PUG1639,1,48.177,123.5269,Harmonic
"Race Rocks, 4.5 mi. S of (Depth 60ft)",PUG1640,18,48.2232,123.5323,Harmonic
"Race Rocks, 4.5 mi. S of (Depth 237ft)",PUG1640,9,48.2232,123.5323,Harmonic
Port Angeles,PCT1371,1,48.1333,123.4167,Weak and Variable
"Ediz Hook Light, 1.4 miles southeast of",PCT1376,1,48.1167,123.4,Weak and Variable
"Ediz Hook Light, 1.2 miles N of (Depth 36ft)",PUG1638,22,48.1667,123.4158,Harmonic
"Ediz Hook Light, 1.2 miles N of (Depth 85ft)",PUG1638,17,48.1667,123.4158,Harmonic
"Ediz Hook Light, 1.2 miles N of (Depth 184ft)",PUG1638,7,48.1667,123.4158,Harmonic
"Ediz Hook Light, 5.3 mi. ENE of (Depth 22ft)",PUG1637,29,48.1823,123.2815,Harmonic
"Ediz Hook Light, 5.3 mi. ENE of (Depth 28ft)",PUG1637,28,48.1823,123.2815,Harmonic
"Ediz Hook Light, 5.3 mi. ENE of (Depth 179ft)",PUG1637,5,48.1823,123.2815,Harmonic
"Trial Island, 5.2 miles SSW of (Depth 15ft)",PCT1391,1,48.3167,123.3667,Subordinate
"New Dungeness Light, 2.8 mi. NNW of (Depth 52ft)",PUG1635,58,48.2335,123.1334,Harmonic
"New Dungeness Light, 2.8 mi. NNW of (Depth 71ft)",PUG1635,55,48.2335,123.1334,Harmonic
"New Dungeness Light, 2.8 mi. NNW of (Depth 360ft)",PUG1635,11,48.2335,123.1334,Harmonic
"New Dungeness Light, 6 miles NNE of (Depth 15ft)",PCT1401,1,48.2667,123.05,Subordinate
"Discovery Island, 7.6 mi. SSE of (Depth 28ft)",PUG1636,34,48.3002,123.1672,Harmonic
"Discovery Island, 7.6 mi. SSE of (Depth 120ft)",PUG1636,20,48.3002,123.1672,Harmonic
"Discovery Island, 7.6 mi. SSE of (Depth 244ft)",PUG1636,1,48.3002,123.1672,Harmonic
"Discovery Island, 3 miles SSE of (Depth 15ft)",PCT1411,1,48.3833,123.2,Subordinate
"Violet Point, 3.7 mi. NW of Protection Island (Depth 17ft)",PUG1631,33,48.1614,122.9681,Harmonic
"Violet Point, 3.7 mi. NW of Protection Island (Depth 40ft)",PUG1631,26,48.1614,122.9681,Harmonic
"Violet Point, 3.7 mi. NW of Protection Island (Depth 112ft)",PUG1631,4,48.1614,122.9681,Harmonic
"Kanem Point, 1.5 mi. SW of Protection Island (Depth 22ft)",PUG1630,53,48.1076,122.9737,Harmonic
"Kanem Point, 1.5 mi. SW of Protection Island (Depth 55ft)",PUG1630,43,48.1076,122.9737,Harmonic
"Kanem Point, 1.5 mi. SW of Protection Island (Depth 97ft)",PUG1630,30,48.1076,122.9737,Harmonic
"Smith Island, 5.5 mi. WNW of (Depth 43ft)",PUG1632,41,48.3246,122.9647,Harmonic
"Smith Island, 5.5 mi. WNW of (Depth 141ft)",PUG1632,26,48.3246,122.9647,Harmonic
"Smith Island, 5.5 mi. WNW of (Depth 220ft)",PUG1632,14,48.3246,122.9647,Harmonic
"Smith Island, 1.4 miles SSW of",PCT1451,1,48.3,122.85,Subordinate
"Smith Island, 3.4 mi. ESE of (Depth 20ft)",PUG1634,36,48.2964,122.7763,Harmonic
"Smith Island, 3.4 mi. ESE of (Depth 56ft)",PUG1634,25,48.2964,122.7763,Harmonic
"Smith Island, 3.4 mi. ESE of (Depth 134ft)",PUG1634,1,48.2964,122.7763,Harmonic
"Point Partridge, 3.7 miles west of",PCT1466,1,48.2333,122.8667,Subordinate
"Point Wilson, 0.6 mi. NE of (Depth 17ft)",PUG1623,45,48.1501,122.7454,Harmonic
"Point Wilson, 0.6 mi. NE of (Depth 56ft)",PUG1623,33,48.1501,122.7454,Harmonic
"Point Wilson, 0.6 mi. NE of (Depth 118ft)",PUG1623,14,48.1501,122.7454,Harmonic
"Point Wilson, 1.6 mi. NE of (Depth 21ft)",PUG1624,47,48.1569,122.726,Harmonic
"Point Wilson, 1.6 mi. NE of (Depth 87ft)",PUG1624,27,48.1569,122.726,Harmonic
"Point Wilson, 1.6 mi. NE of (Depth 149ft)",PUG1624,8,48.1569,122.726,Harmonic
"Point Wilson, 2.7 mi. NE of (Depth 20ft)",PUG1625,45,48.1671,122.7074,Harmonic
"Point Wilson, 2.7 mi. NE of (Depth 56ft)",PUG1625,34,48.1671,122.7074,Harmonic
"Point Wilson, 2.7 mi. NE of (Depth 118ft)",PUG1625,15,48.1671,122.7074,Harmonic
