NAME	ID	BIN#	LAT	LON	PREDICTIONS
COLUMBIA RIVER AND APPROACHES					
Sand Island Tower, 1nm SE of (midchannel) (Depth 15ft)	PCT1106	1	46.2528° N	123.9908° W	Subordinate
Sand Island Tower, 0.9nm SE of (north channel) (Depth 15ft)	PCT1111	1	46.2578° N	123.9945° W	Subordinate
Baker Bay entrance, E of Sand Island Tower (Depth 23ft)	PCT1116	1	46.2620° N	123.9980° W	Subordinate
Clatsop Spit, NNE of (Depth 15ft)	PCT1121	1	46.2462° N	123.9942° W	Subordinate
Sand Island, SSE of (Depth 12ft)	PCT1126	1	46.2555° N	123.9680° W	Subordinate
Youngs Bay Bridge (Depth 9ft)	PCT1146	1	46.1778° N	123.8683° W	Subordinate
Hammond, northeast of ship channel (Depth 15ft)	PCT1151	1	46.2112° N	123.9345° W	Subordinate
McGowan, SSW of (Depth 14ft)	PCT1156	1	46.2395° N	123.9153° W	Subordinate
Point Ellice, east of (Depth 17ft)	PCT1161	1	46.2417° N	123.8483° W	Subordinate
Point Adams, NNE OF (Depth 14ft)	PCT1166	1	46.2278° N	123.9675° W	Subordinate
Chinook Point, WSW of (Depth 14ft)	PCT1171	1	46.2422° N	123.9642° W	Subordinate
Tongue Point, northwest of (Depth 15ft)	PCT1176	1	46.2192° N	123.7667° W	Subordinate
Woody Island Channel (Depth 15ft)	PCT1186	1	46.2395° N	123.6733° W	Subordinate
Woody Island Channel (off Seal Island) (Depth 12ft)	PCT1191	1	46.2175° N	123.6292° W	Subordinate
Quinn Island, Prairie Channel (Depth 8ft)	PCT1201	1	46.2372° N	123.5033° W	Subordinate
Clifton Channel (Depth 10ft)	PCT1206	1	46.2178° N	123.4653° W	Subordinate
Hunting Island, south of (Depth 20ft)	PCT1216	1	46.2072° N	123.4042° W	Subordinate
Cathlamet Channel, SE of Nassa Point (Depth 19ft)	PCT1231	1	46.1562° N	123.3150° W	Subordinate
Walker Island, south of (Depth 12ft)	PCT1251	1	46.1412° N	123.0458° W	Subordinate
WASHINGTON COAST					
South Bend, Willapa River	PCT1271	1	46.6647° N	123.8013° W	Subordinate
GRAYS HARBOR					
Entrance, 0.2 mile south of north jetty	PCT1276	1	46.9263° N	124.1613° W	Subordinate
Entrance, Point Chehalis Range	PCT1281	1	46.9083° N	124.1555° W	Subordinate
Entrance, 0.6 mile WNW of Westport	PCT1286	1	46.9147° N	124.1250° W	Subordinate
Grays Harbor Entrance	PCT1291	1	46.9225° N	124.1330° W	Harmonic
Entrance, 1.1 miles NW of Westport	PCT1296	1	46.9167° N	124.1333° W	Subordinate
Channel, 1.5 miles north of Westport	PCT1301	1	46.9333° N	124.1000° W	Subordinate
Channel, 2.1 miles NNE of Westport	PCT1306	1	46.9333° N	124.0833° W	Subordinate
Westport, channel 0.4 mile NE of	PCT1316	1	46.9142° N	124.1083° W	Subordinate
WASHINGTON-BRITISH COLUMBIA COAST					
Quillayute River entrance	PCT1321	1	47.9167° N	124.6333° W	Subordinate
STRAIGHT OF JUAN DE FUCA					
Strait of Juan de Fuca Entrance (Depth 102ft)	PUG1642	49	48.4500° N	124.5838° W	Harmonic
Pillar Point, 6 mi. NNE of (Depth 41ft)	PUG1641	75	48.3000° N	124.0374° W	Harmonic
Pillar Point, 6 mi. NNE of (Depth 74ft)	PUG1641	70	48.3000° N	124.0374° W	Harmonic
Pillar Point, 6 mi. NNE of (Depth 297ft)	PUG1641	36	48.3000° N	124.0374° W	Harmonic
Angeles Pt., 2 mi. NNE of (Depth 12ft)	PUG1639	16	48.1770° N	123.5269° W	Harmonic
Angeles Pt., 2 mi. NNE of (Depth 25ft)	PUG1639	12	48.1770° N	123.5269° W	Harmonic
Angeles Pt., 2 mi. NNE of (Depth 61ft)	PUG1639	1	48.1770° N	123.5269° W	Harmonic
Race Rocks, 4.5 mi. S of (Depth 60ft)	PUG1640	18	48.2232° N	123.5323° W	Harmonic
Race Rocks, 4.5 mi. S of (Depth 237ft)	PUG1640	9	48.2232° N	123.5323° W	Harmonic
Port Angeles	PCT1371	1	48.1333° N	123.4167° W	Weak and Variable
Ediz Hook Light, 1.4 miles southeast of	PCT1376	1	48.1167° N	123.4000° W	Weak and Variable
Ediz Hook Light, 1.2 miles N of (Depth 36ft)	PUG1638	22	48.1667° N	123.4158° W	Harmonic
Ediz Hook Light, 1.2 miles N of (Depth 85ft)	PUG1638	17	48.1667° N	123.4158° W	Harmonic
Ediz Hook Light, 1.2 miles N of (Depth 184ft)	PUG1638	7	48.1667° N	123.4158° W	Harmonic
Ediz Hook Light, 5.3 mi. ENE of (Depth 22ft)	PUG1637	29	48.1823° N	123.2815° W	Harmonic
Ediz Hook Light, 5.3 mi. ENE of (Depth 28ft)	PUG1637	28	48.1823° N	123.2815° W	Harmonic
Ediz Hook Light, 5.3 mi. ENE of (Depth 179ft)	PUG1637	5	48.1823° N	123.2815° W	Harmonic
Trial Island, 5.2 miles SSW of (Depth 15ft)	PCT1391	1	48.3167° N	123.3667° W	Subordinate
New Dungeness Light, 2.8 mi. NNW of (Depth 52ft)	PUG1635	58	48.2335° N	123.1334° W	Harmonic
New Dungeness Light, 2.8 mi. NNW of (Depth 71ft)	PUG1635	55	48.2335° N	123.1334° W	Harmonic
New Dungeness Light, 2.8 mi. NNW of (Depth 360ft)	PUG1635	11	48.2335° N	123.1334° W	Harmonic
New Dungeness Light, 6 miles NNE of (Depth 15ft)	PCT1401	1	48.2667° N	123.0500° W	Subordinate
Discovery Island, 7.6 mi. SSE of (Depth 28ft)	PUG1636	34	48.3002° N	123.1672° W	Harmonic
Discovery Island, 7.6 mi. SSE of (Depth 120ft)	PUG1636	20	48.3002° N	123.1672° W	Harmonic
Discovery Island, 7.6 mi. SSE of (Depth 244ft)	PUG1636	1	48.3002° N	123.1672° W	Harmonic
Discovery Island, 3 miles SSE of (Depth 15ft)	PCT1411	1	48.3833° N	123.2000° W	Subordinate
Violet Point, 3.7 mi. NW of Protection Island (Depth 17ft)	PUG1631	33	48.1614° N	122.9681° W	Harmonic
Violet Point, 3.7 mi. NW of Protection Island (Depth 40ft)	PUG1631	26	48.1614° N	122.9681° W	Harmonic
Violet Point, 3.7 mi. NW of Protection Island (Depth 112ft)	PUG1631	4	48.1614° N	122.9681° W	Harmonic
Kanem Point, 1.5 mi. SW of Protection Island (Depth 22ft)	PUG1630	53	48.1076° N	122.9737° W	Harmonic
Kanem Point, 1.5 mi. SW of Protection Island (Depth 55ft)	PUG1630	43	48.1076° N	122.9737° W	Harmonic
Kanem Point, 1.5 mi. SW of Protection Island (Depth 97ft)	PUG1630	30	48.1076° N	122.9737° W	Harmonic
Smith Island, 5.5 mi. WNW of (Depth 43ft)	PUG1632	41	48.3246° N	122.9647° W	Harmonic
Smith Island, 5.5 mi. WNW of (Depth 141ft)	PUG1632	26	48.3246° N	122.9647° W	Harmonic
Smith Island, 5.5 mi. WNW of (Depth 220ft)	PUG1632	14	48.3246° N	122.9647° W	Harmonic
Smith Island, 1.4 miles SSW of	PCT1451	1	48.3000° N	122.8500° W	Subordinate
Smith Island, 3.4 mi. ESE of (Depth 20ft)	PUG1634	36	48.2964° N	122.7763° W	Harmonic
Smith Island, 3.4 mi. ESE of (Depth 56ft)	PUG1634	25	48.2964° N	122.7763° W	Harmonic
Smith Island, 3.4 mi. ESE of (Depth 134ft)	PUG1634	1	48.2964° N	122.7763° W	Harmonic
Point Partridge, 3.7 miles west of	PCT1466	1	48.2333° N	122.8667° W	Subordinate
ADMIRALTY INLET					
Point Wilson, 0.6 mi. NE of (Depth 17ft)	PUG1623	45	48.1501° N	122.7454° W	Harmonic
Point Wilson, 0.6 mi. NE of (Depth 56ft)	PUG1623	33	48.1501° N	122.7454° W	Harmonic
Point Wilson, 0.6 mi. NE of (Depth 118ft)	PUG1623	14	48.1501° N	122.7454° W	Harmonic
Point Wilson, 1.6 mi. NE of (Depth 21ft)	PUG1624	47	48.1569° N	122.7260° W	Harmonic
Point Wilson, 1.6 mi. NE of (Depth 87ft)	PUG1624	27	48.1569° N	122.7260° W	Harmonic
Point Wilson, 1.6 mi. NE of (Depth 149ft)	PUG1624	8	48.1569° N	122.7260° W	Harmonic
Point Wilson, 2.7 mi. NE of (Depth 20ft)	PUG1625	45	48.1671° N	122.7074° W	Harmonic
Point Wilson, 2.7 mi. NE of (Depth 56ft)	PUG1625	34	48.1671° N	122.7074° W	Harmonic
Point Wilson, 2.7 mi. NE of (Depth 118ft)	PUG1625	15	48.1671° N	122.7074° W	Harmonic
Point Wilson, 0.8 mile east of	PCT1496	1	48.1500° N	122.7333° W	Subordinate
Port Townsend, 0.5 mile S of Pt. Hudson	PCT1501	1	48.1167° N	122.7500° W	Weak and Variable
Marrowstone Point					
Marrowstone Point, 1.1 miles northwest of	PCT1511	1	48.1167° N	122.7000° W	Subordinate
Marrowstone Point, 0.8 mi. NE of (Depth 29ft)	PUG1619	46	48.1063° N	122.6725° W	Harmonic
Marrowstone Point, 0.8 mi. NE of (Depth 75ft)	PUG1619	32	48.1063° N	122.6725° W	Harmonic
Marrowstone Point, 0.8 mi. NE of (Depth 151ft)	PUG1619	9	48.1063° N	122.6725° W	Harmonic
Marrowstone Point, 1.65 mi. NE of (Depth 26ft)	PUG1620	28	48.1193° N	122.6623° W	Harmonic
Marrowstone Point, 1.65 mi. NE of (Depth 79ft)	PUG1620	20	48.1193° N	122.6623° W	Harmonic
Marrowstone Point, 1.65 mi. NE of (Depth 144ft)	PUG1620	10	48.1193° N	122.6623° W	Harmonic
Nodule Point, 0.5 mi. SE of (Depth 9ft)	PUG1615	18	48.0287° N	122.6609° W	Harmonic
